iterm,facet,domain,subject,lword
renewable energy facility construction,phenomenon_process,Engineering Principles,civil engineering,wind farm construction
wind load,concept,Engineering Principles,structural engineering,wind load
wind pressure,concept,Engineering Principles,structural engineering,wind pressure
wind speed,concept,Engineering Principles,environmental science,wind speed
wind turbine installation,phenomenon_process,Engineering Principles,energy systems,wind turbine installation
windpowered generator,phenomenon_object,Engineering Principles,energy systems,windpowered generator
world-wide web,concept,Engineering Principles,networking,world-wide web
zero commuting,concept,Engineering Principles,sustainable engineering,zero commuting
zero-emission building,concept,Engineering Principles,sustainable engineering,zero-emission building
access to information,concept,Ethics,social equity,access to information
black and minority ethnic,concept,Ethics,sociology,black and minority ethnic
black worker,concept,Ethics,sociology,black worker
business ethics,concept,Ethics,professional practice,business ethics
cheating,concept,Ethics,behavioural issues,cheating
deprivation,concept,Ethics,social justice,deprivation
disabled,concept,Ethics,sociology,disabled
disparity,concept,Ethics,social justice,disparity
gender equality,concept,Ethics,social justice,gender equality
gender equity,concept,Ethics,social justice,gender equity
gender issue,theoretical_framing,Ethics,sociology,gender issue
gendered strategy,concept,Ethics,social justice,gendered strategy
humanitarian,concept,Ethics,principle,humanitarian
individual empowerment,theoretical_framing,Ethics,social justice,individual empowerment
inequality,concept,Ethics,sociology,inequality
minority,concept,Ethics,sociology,minority
poverty,concept,Ethics,sociology,poverty
privilege,concept,Ethics,sociology,privilege
racial discrimination,concept,Ethics,sociology,racial discrimination
racism,concept,Ethics,sociology,racism
rent seeking,phenomenon_object,Ethics,economic concepts,rent seeking
social class,concept,Ethics,social justice,social class
social control,concept,Ethics,social justice,social control
social inclusion,concept,Ethics,sociology,social inclusion
social justice,theoretical_framing,Ethics,sociology,social justice
social norms,theoretical_framing,Ethics,social justice,social norms
social right,concept,Ethics,sociology,social right
stratification,concept,Ethics,social justice,stratification
subjective norm,concept,Ethics,social justice,subjective norm
victimization,concept,Ethics,sociology,victimization
Abuja,phenomenon_location,Geographical Context,Geography,Abuja
Accra,phenomenon_location,Geographical Context,Geography,Accra
Afghanistan,phenomenon_location,Geographical Context,Geography,Afghanistan
Africa,phenomenon_location,Geographical Context,regions and continents,Africa
age composition,analytical_technique,Geographical Context,factor and component analysis,age composition
Åland Islands,phenomenon_location,Geographical Context,Geography,Åland Islands
Albania,phenomenon_location,Geographical Context,Geography,Albania
Algeria,phenomenon_location,Geographical Context,Geography,Algeria
American Samoa,phenomenon_location,Geographical Context,Geography,American Samoa
Amman,phenomenon_location,Geographical Context,Geography,Amman
Amsterdam,phenomenon_location,Geographical Context,Geography,Amsterdam
Andorra,phenomenon_location,Geographical Context,Geography,Andorra
Angola,phenomenon_location,Geographical Context,Geography,Angola
Anguilla,phenomenon_location,Geographical Context,Geography,Anguilla
Antarctica,phenomenon_location,Geographical Context,regions and continents,Antarctica
Antigua and Barbuda,phenomenon_location,Geographical Context,Geography,Antigua and Barbuda
Argentina,phenomenon_location,Geographical Context,Geography,Argentina
arid regions,phenomenon_location,Geographical Context,physical geography and landforms,arid regions
arid zones,phenomenon_location,Geographical Context,physical geography and landforms,arid zones
Armenia,phenomenon_location,Geographical Context,Geography,Armenia
Aruba,phenomenon_location,Geographical Context,Geography,Aruba
Asia,phenomenon_location,Geographical Context,regions and continents,Asia
Asia-Pacific,phenomenon_location,Geographical Context,physical geography and landforms,Asia-Pacific
Atlantic Ocean,phenomenon_location,Geographical Context,oceans and coastal science,Atlantic Ocean
Australia,phenomenon_location,Geographical Context,Geography,Australia
Austria,phenomenon_location,Geographical Context,Geography,Austria
Azerbaijan,phenomenon_location,Geographical Context,Geography,Azerbaijan
Baghdad,phenomenon_location,Geographical Context,Geography,Baghdad
Bahamas,phenomenon_location,Geographical Context,Geography,Bahamas
Bahrain,phenomenon_location,Geographical Context,Geography,Bahrain
Bangladesh,phenomenon_location,Geographical Context,Geography,Bangladesh
Barbados,phenomenon_location,Geographical Context,Geography,Barbados
Beijing,phenomenon_location,Geographical Context,Geography,Beijing
Belarus,phenomenon_location,Geographical Context,Geography,Belarus
Belgium,phenomenon_location,Geographical Context,Geography,Belgium
Belize,phenomenon_location,Geographical Context,Geography,Belize
Benin,phenomenon_location,Geographical Context,Geography,Benin
Berlin,phenomenon_location,Geographical Context,Geography,Berlin
Bermuda,phenomenon_location,Geographical Context,Geography,Bermuda
Bhutan,phenomenon_location,Geographical Context,Geography,Bhutan
Birmingham,phenomenon_location,Geographical Context,Geography,Birmingham
Birmingham (Alabama),phenomenon_location,Geographical Context,Geography,Birmingham (Alabama)
Blantyre city council,phenomenon_location,Geographical Context,Geography,Blantyre city council
Bolivia,phenomenon_location,Geographical Context,Geography,Bolivia
Bosnia and Herzegovina,phenomenon_location,Geographical Context,Geography,Bosnia and Herzegovina
Botswana,phenomenon_location,Geographical Context,Geography,Botswana
Bouvet Island,phenomenon_location,Geographical Context,Geography,Bouvet Island
Brazil,phenomenon_location,Geographical Context,Geography,Brazil
Brisbane,phenomenon_location,Geographical Context,Geography,Brisbane
British Indian Ocean Territory,phenomenon_location,Geographical Context,Geography,British Indian Ocean Territory
British Virgin Islands,phenomenon_location,Geographical Context,Geography,British Virgin Islands
Brunei,phenomenon_location,Geographical Context,Geography,Brunei
building site,phenomenon_location,Geographical Context,site and location studies,building site
Bulgaria,phenomenon_location,Geographical Context,Geography,Bulgaria
Burkina Faso,phenomenon_location,Geographical Context,Geography,Burkina Faso
Burundi,phenomenon_location,Geographical Context,Geography,Burundi
Cairo,phenomenon_location,Geographical Context,Geography,Cairo
Cambodia,phenomenon_location,Geographical Context,Geography,Cambodia
Cameroon,phenomenon_location,Geographical Context,Geography,Cameroon
Canada,phenomenon_location,Geographical Context,Geography,Canada
canyons,concept,Geographical Context,physical geography and landforms,canyons
Cape Verde,phenomenon_location,Geographical Context,Geography,Cape Verde
Caribbean,phenomenon_location,Geographical Context,physical geography and landforms,Caribbean
Catalonia,phenomenon_location,Geographical Context,physical geography and landforms,Catalonia
Cayman Islands,phenomenon_location,Geographical Context,Geography,Cayman Islands
Central African Republic,phenomenon_location,Geographical Context,Geography,Central African Republic
Chad,phenomenon_location,Geographical Context,Geography,Chad
Chile,phenomenon_location,Geographical Context,Geography,Chile
China,phenomenon_location,Geographical Context,Geography,China
Christchurch,phenomenon_location,Geographical Context,Geography,Christchurch
Christmas Island,phenomenon_location,Geographical Context,Geography,Christmas Island
cliffs,concept,Geographical Context,physical geography and landforms,cliffs
coastal areas,concept,Geographical Context,physical geography and landforms,coastal areas
coastal zone,concept,Geographical Context,physical geography and landforms,coastal zone
coastline,concept,Geographical Context,physical geography and landforms,coastline
coasts,concept,Geographical Context,physical geography and landforms,coasts
Cocos Islands,phenomenon_location,Geographical Context,Geography,Cocos Islands
Colombia,phenomenon_location,Geographical Context,Geography,Colombia
Comoros,phenomenon_location,Geographical Context,Geography,Comoros
Congo,phenomenon_location,Geographical Context,Geography,Congo
continental shelves,concept,Geographical Context,physical geography and landforms,continental shelves
Cook Islands,phenomenon_location,Geographical Context,Geography,Cook Islands
Costa Rica,phenomenon_location,Geographical Context,Geography,Costa Rica
Côte D'Ivoire,phenomenon_location,Geographical Context,Geography,Côte D'Ivoire
Croatia,phenomenon_location,Geographical Context,Geography,Croatia
Cuba,phenomenon_location,Geographical Context,Geography,Cuba
Cyprus,phenomenon_location,Geographical Context,Geography,Cyprus
Czech Republic,phenomenon_location,Geographical Context,Geography,Czech Republic
Damascus,phenomenon_location,Geographical Context,Geography,Damascus
Dar es Salaam,phenomenon_location,Geographical Context,Geography,Dar es Salaam
Delaware,phenomenon_location,Geographical Context,Geography,Delaware
Democratic People's Republic of Korea,phenomenon_location,Geographical Context,Geography,Democratic People's Republic of Korea
Denmark,phenomenon_location,Geographical Context,Geography,Denmark
Diar Es Saada,phenomenon_location,Geographical Context,Geography,Diar Es Saada
Djibouti,phenomenon_location,Geographical Context,Geography,Djibouti
Doha,phenomenon_location,Geographical Context,Geography,Doha
Dominica,phenomenon_location,Geographical Context,Geography,Dominica
Dominican Republic,phenomenon_location,Geographical Context,Geography,Dominican Republic
Dubai,phenomenon_location,Geographical Context,Geography,Dubai
Ecuador,phenomenon_location,Geographical Context,Geography,Ecuador
Egypt,phenomenon_location,Geographical Context,Geography,Egypt
El Salvador,phenomenon_location,Geographical Context,Geography,El Salvador
England,phenomenon_location,Geographical Context,Geography,England
Equatorial Guinea,phenomenon_location,Geographical Context,Geography,Equatorial Guinea
Eritrea,phenomenon_location,Geographical Context,Geography,Eritrea
Estonia,phenomenon_location,Geographical Context,Geography,Estonia
Ethiopia,phenomenon_location,Geographical Context,Geography,Ethiopia
Europe,phenomenon_location,Geographical Context,physical geography and landforms,Europe
European Union,phenomenon_location,Geographical Context,physical geography and landforms,European Union
Falkland Islands,phenomenon_location,Geographical Context,Geography,Falkland Islands
Faroe Islands,phenomenon_location,Geographical Context,Geography,Faroe Islands
Fiji,phenomenon_location,Geographical Context,Geography,Fiji
Finland,phenomenon_location,Geographical Context,Geography,Finland
Flanders,phenomenon_location,Geographical Context,physical geography and landforms,Flanders
France,phenomenon_location,Geographical Context,Geography,France
French Guiana,phenomenon_location,Geographical Context,Geography,French Guiana
French Polynesia,phenomenon_location,Geographical Context,Geography,French Polynesia
French Southern Territories,phenomenon_location,Geographical Context,Geography,French Southern Territories
Gabon,phenomenon_location,Geographical Context,Geography,Gabon
Gambia,phenomenon_location,Geographical Context,Geography,Gambia
Gaza Strip,phenomenon_location,Geographical Context,physical geography and landforms,Gaza Strip
geographic information system,concept,Geographical Context,geographical techniques and analysis,geographic information system
Georgia,phenomenon_location,Geographical Context,Geography,Georgia
Germany,phenomenon_location,Geographical Context,Geography,Germany
Ghana,phenomenon_location,Geographical Context,Geography,Ghana
Gibraltar,phenomenon_location,Geographical Context,Geography,Gibraltar
Greece,phenomenon_location,Geographical Context,Geography,Greece
Greenland,phenomenon_location,Geographical Context,Geography,Greenland
Grenada,phenomenon_location,Geographical Context,Geography,Grenada
Guadeloupe,phenomenon_location,Geographical Context,Geography,Guadeloupe
Guam,phenomenon_location,Geographical Context,Geography,Guam
Guatemala,phenomenon_location,Geographical Context,Geography,Guatemala
Guernsey,phenomenon_location,Geographical Context,Geography,Guernsey
Guinea,phenomenon_location,Geographical Context,Geography,Guinea
Guinea-Bissau,phenomenon_location,Geographical Context,Geography,Guinea-Bissau
Guyana,phenomenon_location,Geographical Context,Geography,Guyana
Haiti,phenomenon_location,Geographical Context,Geography,Haiti
Haor area,phenomenon_location,Geographical Context,physical geography and landforms,Haor area
Havana,phenomenon_location,Geographical Context,Geography,Havana
Heard Island and McDonald Islands,phenomenon_location,Geographical Context,Geography,Heard Island and McDonald Islands
Helsinki,phenomenon_location,Geographical Context,Geography,Helsinki
Holy See,phenomenon_location,Geographical Context,Geography,Holy See
Honduras,phenomenon_location,Geographical Context,Geography,Honduras
Hong Kong,phenomenon_location,Geographical Context,Geography,Hong Kong
Hungary,phenomenon_location,Geographical Context,Geography,Hungary
Iceland,phenomenon_location,Geographical Context,Geography,Iceland
India,phenomenon_location,Geographical Context,Geography,India
Indonesia,phenomenon_location,Geographical Context,Geography,Indonesia
Ipswich,phenomenon_location,Geographical Context,Geography,Ipswich
Ireland,phenomenon_location,Geographical Context,Geography,Ireland
Islamic Republic of Iran,phenomenon_location,Geographical Context,Geography,Islamic Republic of Iran
Isle of Man,phenomenon_location,Geographical Context,Geography,Isle of Man
Israel,phenomenon_location,Geographical Context,Geography,Israel
Istanbul,phenomenon_location,Geographical Context,Geography,Istanbul
Italy,phenomenon_location,Geographical Context,Geography,Italy
Jakarta,phenomenon_location,Geographical Context,Geography,Jakarta
Jamaica,phenomenon_location,Geographical Context,Geography,Jamaica
Japan,phenomenon_location,Geographical Context,Geography,Japan
Jersey,phenomenon_location,Geographical Context,Geography,Jersey
Johannesburg,phenomenon_location,Geographical Context,Geography,Johannesburg
Jordan,phenomenon_location,Geographical Context,Geography,Jordan
Jos,phenomenon_location,Geographical Context,Geography,Jos
Kabul,phenomenon_location,Geographical Context,Geography,Kabul
Kathmandu valley,phenomenon_location,Geographical Context,physical geography and landforms,Kathmandu valley
Kazakhstan,phenomenon_location,Geographical Context,Geography,Kazakhstan
Kenya,phenomenon_location,Geographical Context,Geography,Kenya
Kigali,phenomenon_location,Geographical Context,Geography,Kigali
Kingdom of Saudi Arabia,phenomenon_location,Geographical Context,Geography,Kingdom of Saudi Arabia
Kiribati,phenomenon_location,Geographical Context,Geography,Kiribati
Korea (Democratic People's Republic of),phenomenon_location,Geographical Context,Geography,Korea (Democratic People's Republic of)
Korea (Republic of),phenomenon_location,Geographical Context,Geography,Korea (Republic of)
Kuwait,phenomenon_location,Geographical Context,Geography,Kuwait
Kyrgyzstan,phenomenon_location,Geographical Context,Geography,Kyrgyzstan
Lagos,phenomenon_location,Geographical Context,Geography,Lagos
Lagos State,phenomenon_location,Geographical Context,Geography,Lagos state
landsat,concept,Geographical Context,geographical techniques and analysis,landsat
Lao People's Democratic Republic,phenomenon_location,Geographical Context,Geography,Lao People's Democratic Republic
latitude,concept,Geographical Context,geographical data,latitude
Latvia,phenomenon_location,Geographical Context,Geography,Latvia
Lebanon,phenomenon_location,Geographical Context,Geography,Lebanon
Lesotho,phenomenon_location,Geographical Context,Geography,Lesotho
Liberia,phenomenon_location,Geographical Context,Geography,Liberia
Libya,phenomenon_location,Geographical Context,Geography,Libya
Liechtenstein,phenomenon_location,Geographical Context,Geography,Liechtenstein
Lisbon,phenomenon_location,Geographical Context,Geography,Lisbon
Lithuania,phenomenon_location,Geographical Context,Geography,Lithuania
location,concept,Geographical Context,geographical data,location
London,phenomenon_location,Geographical Context,Geography,London
Los Angeles,phenomenon_location,Geographical Context,Geography,Los Angeles
Luxembourg,phenomenon_location,Geographical Context,Geography,Luxembourg
Macau,phenomenon_location,Geographical Context,Geography,Macau
Macedonia,phenomenon_location,Geographical Context,Geography,Macedonia
Madagascar,phenomenon_location,Geographical Context,Geography,Madagascar
Makurdi town,phenomenon_location,Geographical Context,Geography,Makurdi town
Malawi,phenomenon_location,Geographical Context,Geography,Malawi
Malaysia,phenomenon_location,Geographical Context,Geography,Malaysia
Maldives,phenomenon_location,Geographical Context,Geography,Maldives
Mali,phenomenon_location,Geographical Context,Geography,Mali
Malta,phenomenon_location,Geographical Context,Geography,Malta
Malvinas,phenomenon_location,Geographical Context,Geography,Malvinas
Manila,phenomenon_location,Geographical Context,Geography,Manila
Maninjau lake,phenomenon_location,Geographical Context,Geography,Maninjau lake
Māori,phenomenon_object,Geographical Context,cross-cultural studies,Māori
Marshall Islands,phenomenon_location,Geographical Context,Geography,Marshall Islands
Martinique,phenomenon_location,Geographical Context,Geography,Martinique
Mauritania,phenomenon_location,Geographical Context,Geography,Mauritania
Mauritius,phenomenon_location,Geographical Context,Geography,Mauritius
Mayotte,phenomenon_location,Geographical Context,Geography,Mayotte
Mekong,phenomenon_location,Geographical Context,physical geography and landforms,Mekong
Mexico,phenomenon_location,Geographical Context,Geography,Mexico
Mexico City,phenomenon_location,Geographical Context,Geography,Mexico City
Micronesia (Federated States of),phenomenon_location,Geographical Context,Geography,Micronesia (Federated States of)
Middle East,phenomenon_location,Geographical Context,physical geography and landforms,Middle East
Moldova,phenomenon_location,Geographical Context,Geography,Moldova
Monaco,phenomenon_location,Geographical Context,Geography,Monaco
Mongolia,phenomenon_location,Geographical Context,Geography,Mongolia
Montenegro,phenomenon_location,Geographical Context,Geography,Montenegro
Montserrat,phenomenon_location,Geographical Context,Geography,Montserrat
Morocco,phenomenon_location,Geographical Context,Geography,Morocco
Moscow,phenomenon_location,Geographical Context,Geography,Moscow
Mozambique,phenomenon_location,Geographical Context,Geography,Mozambique
Myanmar,phenomenon_location,Geographical Context,Geography,Myanmar
Nairobi,phenomenon_location,Geographical Context,Geography,Nairobi
Namibia,phenomenon_location,Geographical Context,Geography,Namibia
Nauru,phenomenon_location,Geographical Context,Geography,Nauru
Nepal,phenomenon_location,Geographical Context,Geography,Nepal
Netherlands,phenomenon_location,Geographical Context,Geography,Netherlands
Netherlands Antilles,phenomenon_location,Geographical Context,Geography,Netherlands Antilles
New Caledonia,phenomenon_location,Geographical Context,Geography,New Caledonia
New Delhi,phenomenon_location,Geographical Context,Geography,New Delhi
New Jersey,phenomenon_location,Geographical Context,Geography,New Jersey
New South Wales,phenomenon_location,Geographical Context,Geography,New South Wales
New York,phenomenon_location,Geographical Context,Geography,New York
New Zealand,phenomenon_location,Geographical Context,Geography,New Zealand
Nicaragua,phenomenon_location,Geographical Context,Geography,Nicaragua
Niger Delta,phenomenon_location,Geographical Context,physical geography and landforms,Niger Delta
Nigeria,phenomenon_location,Geographical Context,Geography,Nigeria
Niue,phenomenon_location,Geographical Context,Geography,Niue
Norfolk Island,phenomenon_location,Geographical Context,Geography,Norfolk Island
North Africa,phenomenon_location,Geographical Context,physical geography and landforms,North Africa
North Korea,phenomenon_location,Geographical Context,Geography,North Korea
Northern Ireland,phenomenon_location,Geographical Context,physical geography and landforms,Northern Ireland
Northern Mariana Islands,phenomenon_location,Geographical Context,Geography,Northern Mariana Islands
Norway,phenomenon_location,Geographical Context,Geography,Norway
Oman,phenomenon_location,Geographical Context,Geography,Oman
Oslo,phenomenon_location,Geographical Context,Geography,Oslo
outer banks,concept,Geographical Context,site and location studies,outer banks
Pakistan,phenomenon_location,Geographical Context,Geography,Pakistan
Palau,phenomenon_location,Geographical Context,Geography,Palau
Palestine,phenomenon_location,Geographical Context,Geography,Palestine
Palestinian Territory,phenomenon_location,Geographical Context,Geography,Palestinian Territory
Panama,phenomenon_location,Geographical Context,Geography,Panama
Papua New Guinea,phenomenon_location,Geographical Context,Geography,Papua New Guinea
Paraguay,phenomenon_location,Geographical Context,Geography,Paraguay
Paris,phenomenon_location,Geographical Context,Geography,Paris
Penang,phenomenon_location,Geographical Context,Geography,Penang
Peru,phenomenon_location,Geographical Context,Geography,Peru
Philippines,phenomenon_location,Geographical Context,Geography,Philippines
Pitcairn Islands,phenomenon_location,Geographical Context,Geography,Pitcairn Islands
Poland,phenomenon_location,Geographical Context,Geography,Poland
Portugal,phenomenon_location,Geographical Context,Geography,Portugal
Puerto Rico,phenomenon_location,Geographical Context,Geography,Puerto Rico
Qatar,phenomenon_location,Geographical Context,Geography,Qatar
Queensland,phenomenon_location,Geographical Context,Geography,Queensland
Republic of Iraq,phenomenon_location,Geographical Context,Geography,Republic of Iraq
Republic of Korea,phenomenon_location,Geographical Context,Geography,Republic of Korea
Republic of Moldova,phenomenon_location,Geographical Context,Geography,Republic of Moldova
Reunion,phenomenon_location,Geographical Context,Geography,Reunion
Romania,phenomenon_location,Geographical Context,Geography,Romania
Rome,phenomenon_location,Geographical Context,Geography,Rome
Russian Federation,phenomenon_location,Geographical Context,Geography,Russian Federation
Rwanda,phenomenon_location,Geographical Context,Geography,Rwanda
Saint Barthelemy,phenomenon_location,Geographical Context,Geography,Saint Barthelemy
Saint Helena,phenomenon_location,Geographical Context,Geography,Saint Helena
Saint Kitts and Nevis,phenomenon_location,Geographical Context,Geography,Saint Kitts and Nevis
Saint Lucia,phenomenon_location,Geographical Context,Geography,Saint Lucia
Saint Martin,phenomenon_location,Geographical Context,Geography,Saint Martin
Saint Pierre and Miquelon,phenomenon_location,Geographical Context,Geography,Saint Pierre and Miquelon
Saint Vincent and the Grenadines,phenomenon_location,Geographical Context,Geography,Saint Vincent and the Grenadines
Samoa,phenomenon_location,Geographical Context,Geography,Samoa
San Marino,phenomenon_location,Geographical Context,Geography,San Marino
Santiago,phenomenon_location,Geographical Context,Geography,Santiago
Sao Tome and Principe,phenomenon_location,Geographical Context,Geography,Sao Tome and Principe
Saudi Arabia,phenomenon_location,Geographical Context,Geography,Saudi Arabia
Scotland,phenomenon_location,Geographical Context,Geography,Scotland
Seattle,phenomenon_location,Geographical Context,Geography,Seattle
Senegal,phenomenon_location,Geographical Context,Geography,Senegal
Serbia,phenomenon_location,Geographical Context,Geography,Serbia
Seychelles,phenomenon_location,Geographical Context,Geography,Seychelles
Shanghai,phenomenon_location,Geographical Context,Geography,Shanghai
Sierra Leone,phenomenon_location,Geographical Context,Geography,Sierra Leone
Singapore,phenomenon_location,Geographical Context,Geography,Singapore
Slovakia,phenomenon_location,Geographical Context,Geography,Slovakia
Slovenia,phenomenon_location,Geographical Context,Geography,Slovenia
Sofia,phenomenon_location,Geographical Context,Geography,Sofia
Solomon Islands,phenomenon_location,Geographical Context,Geography,Solomon Islands
Somalia,phenomenon_location,Geographical Context,Geography,Somalia
South Africa,phenomenon_location,Geographical Context,Geography,South Africa
South Australia,phenomenon_location,Geographical Context,physical geography and landforms,South Australia
South China,phenomenon_location,Geographical Context,physical geography and landforms,South China
South Georgia and the South Sandwich Islands,phenomenon_location,Geographical Context,Geography,South Georgia and the South Sandwich Islands
South Korea,phenomenon_location,Geographical Context,Geography,South Korea
South Sudan,phenomenon_location,Geographical Context,Geography,South Sudan
South-East Asia,phenomenon_location,Geographical Context,physical geography and landforms,South-East Asia
Spain,phenomenon_location,Geographical Context,Geography,Spain
spatial distribution,concept,Geographical Context,geographical analysis,spatial distribution
spatial methodology,phenomenon_location,Geographical Context,geographical analysis,spatial methodology
spatial network analysis,concept,Geographical Context,methods and analysis,spatial network analysis
Sri Lanka,phenomenon_location,Geographical Context,Geography,Sri Lanka
Stockholm,phenomenon_location,Geographical Context,Geography,Stockholm
Sub Saharan Africa,phenomenon_location,Geographical Context,physical geography and landforms,Sub Saharan Africa
Sub-Saharan Africa,phenomenon_location,Geographical Context,physical geography and landforms,Sub-Saharan Africa
subtropical region,concept,Geographical Context,physical geography and landforms,subtropical region
Sudan,phenomenon_location,Geographical Context,Geography,Sudan
Suriname,phenomenon_location,Geographical Context,Geography,Suriname
Svalbard and Jan Mayen,phenomenon_location,Geographical Context,Geography,Svalbard and Jan Mayen
Swan River,phenomenon_location,Geographical Context,physical geography and landforms,Swan River
Swaziland,phenomenon_location,Geographical Context,Geography,Swaziland
Sweden,phenomenon_location,Geographical Context,Geography,Sweden
Switzerland,phenomenon_location,Geographical Context,Geography,Switzerland
Syria,phenomenon_location,Geographical Context,political and administrative geography,Syria
Syrian Arab Republic,phenomenon_location,Geographical Context,Geography,Syrian Arab Republic
Taiwan,phenomenon_location,Geographical Context,Geography,Taiwan
Tajikistan,phenomenon_location,Geographical Context,Geography,Tajikistan
Tanzania,phenomenon_location,Geographical Context,Geography,Tanzania
Tbilisi,phenomenon_location,Geographical Context,Geography,Tbilisi
Tehran,phenomenon_location,Geographical Context,Geography,Tehran
temperate zone,concept,Geographical Context,physical geography and landforms,temperate zone
Thailand,phenomenon_location,Geographical Context,Geography,Thailand
Timor-Leste,phenomenon_location,Geographical Context,Geography,Timor-Leste
Tlemcen,phenomenon_location,Geographical Context,Geography,Tlemcen
Togo,phenomenon_location,Geographical Context,Geography,Togo
Tohoku,phenomenon_location,Geographical Context,Geography,Tohoku
Tokelau,phenomenon_location,Geographical Context,Geography,Tokelau
Tokyo,phenomenon_location,Geographical Context,Geography,Tokyo
Tonga,phenomenon_location,Geographical Context,Geography,Tonga
topography,concept,Geographical Context,physical geography and landforms,topography
Toronto,phenomenon_location,Geographical Context,Geography,Toronto
Trinidad and Tobago,phenomenon_location,Geographical Context,Geography,Trinidad and Tobago
Tunisia,phenomenon_location,Geographical Context,Geography,Tunisia
Turkey,phenomenon_location,Geographical Context,Geography,Turkey
Turkmenistan,phenomenon_location,Geographical Context,Geography,Turkmenistan
Turks and Caicos Islands,phenomenon_location,Geographical Context,Geography,Turks and Caicos Islands
Tuvalu,phenomenon_location,Geographical Context,Geography,Tuvalu
Uganda,phenomenon_location,Geographical Context,Geography,Uganda
Ukraine,phenomenon_location,Geographical Context,Geography,Ukraine
United Arab Emirates,phenomenon_location,Geographical Context,Geography,United Arab Emirates
United Kingdom,phenomenon_location,Geographical Context,Geography,United Kingdom
United Republic of Tanzania,phenomenon_location,Geographical Context,Geography,United Republic of Tanzania
United States,phenomenon_location,Geographical Context,Geography,United States
United States of America,phenomenon_location,Geographical Context,Geography,United States of America
urban geography,phenomenon_location,Geographical Context,Geography,urban geography
Uruguay,phenomenon_location,Geographical Context,Geography,Uruguay
US Virgin Islands,phenomenon_location,Geographical Context,Geography,US Virgin Islands
Uzbekistan,phenomenon_location,Geographical Context,Geography,Uzbekistan
Vanuatu,phenomenon_location,Geographical Context,Geography,Vanuatu
Vatican City State,phenomenon_location,Geographical Context,Geography,Vatican City State
Venezuela,phenomenon_location,Geographical Context,Geography,Venezuela
Victoria,phenomenon_location,Geographical Context,regions and continents,Victoria
Vienna,phenomenon_location,Geographical Context,Geography,Vienna
Vietnam,phenomenon_location,Geographical Context,Geography,Vietnam
vintage cohorts,phenomenon_location,Geographical Context,Geography,vintage cohorts
Wales,phenomenon_location,Geographical Context,Geography,Wales
Wallis and Futuna,phenomenon_location,Geographical Context,Geography,Wallis and Futuna
Wellington,phenomenon_location,Geographical Context,Geography,Wellington
West Africa,phenomenon_location,Geographical Context,physical geography and landforms,West Africa
West London,phenomenon_location,Geographical Context,physical geography and landforms,West London
Western Sahara,phenomenon_location,Geographical Context,Geography,Western Sahara
Yemen,phenomenon_location,Geographical Context,Geography,Yemen
Yerevan,phenomenon_location,Geographical Context,Geography,Yerevan
York Gate,phenomenon_location,Geographical Context,Geography,York Gate
Zambia,phenomenon_location,Geographical Context,Geography,Zambia
Zimbabwe,phenomenon_location,Geographical Context,Geography,Zimbabwe
annual report,phenomenon_object,Governance,business,annual report
backcasting,empirical_technique,Governance,policy studies,backcasting
bottom-up approach,concept,Governance,urban planning,bottom-up approach
central planning,concept,Governance,economic analysis,central planning
civil society,concept,Governance,political science,civil society
coalition government,concept,Governance,political science,coalition government
collaborative planning,phenomenon_process,Governance,urban planning,collaborative planning
comprehensive planning,concept,Governance,urban planning,comprehensive planning
contract governance,phenomenon_process,Governance,corporate governance,contract governance
corporate governance,concept,Governance,business,corporate governance
corporate planning,phenomenon_process,Governance,business,corporate planning
corporate political power,concept,Governance,corporate governance,corporate political power
corporate responsibility,concept,Governance,business,corporate responsibility
corporate strategy,concept,Governance,business,corporate strategy
decentralization,concept,Governance,political science,decentralization
developing country context,theoretical_framing,Governance,socioeconomic context,developing country context
development theory,theoretical_framing,Governance,socioeconomic concepts,development theory
economic policy,concept,Governance,business policy,economic policy
energy efficiency policy,theoretical_framing,Governance,public policy,energy efficiency policy
energy policy,concept,Governance,public policy,energy policy
environmental policy,concept,Governance,public policy,environmental policy
evidence-based policy,analytical_technique,Governance,public policy,evidence-based policy
fiscal policy,concept,Governance,public policy,fiscal policy
future roadmap,concept,Governance,urban planning,future roadmap
future stance,concept,Governance,urban planning,future stance
governance,phenomenon_process,Governance,business,governance
government industry relations,concept,Governance,political science,government industry relations
government initiatives,phenomenon_process,Governance,political science,government initiatives
government policy,concept,Governance,public policy,government policy
government support,concept,Governance,government bodies,government support
governmentality,concept,Governance,government bodies,governmentality
Gulf cooperation council,phenomenon_object,Governance,institutional frameworks,Gulf cooperation council
housing policy,concept,Governance,public policy,housing policy
hyper urban planning,concept,Governance,urban planning,hyper urban planning
industrial policy,phenomenon_object,Governance,economic analysis,industrial policy
industry reform,concept,Governance,economic concepts,industry reform
infrastructure regulation,concept,Governance,monitoring and control systems,infrastructure regulation
Latham,phenomenon_individual,Governance,industry policy reports,Latham
local democracy,concept,Governance,political science,local democracy
localism,theoretical_framing,Governance,political science,localism
localization,concept,Governance,urban planning,localization
lock down,concept,Governance,public policy,lock down
mandate,concept,Governance,political science,mandate
mixed mode planning,concept,Governance,urban planning,mixed mode planning
monetary policy committee,phenomenon_object,Governance,economic analysis,monetary policy committee
municipal planning,phenomenon_process,Governance,urban planning,municipal planning
national agenda,concept,Governance,political science,national agenda
