iterm,facet,domain,New Subject,lword
damages,concept,Law,dispute resolution and litigation,damages
dispute,phenomenon_object,Law,dispute resolution and litigation,dispute
default,concept,Law,dispute resolution and litigation,default
adjudication,phenomenon_process,Law,dispute resolution and litigation,adjudication
adjudicator,phenomenon_role,Law,dispute resolution and litigation,adjudicator
arbitration,phenomenon_process,Law,dispute resolution and litigation,arbitration
arbitrator,phenomenon_role,Law,dispute resolution and litigation,arbitrator
compulsory mediation,phenomenon_process,Law,dispute resolution and litigation,compulsory mediation
mediation,phenomenon_process,Law,dispute resolution and litigation,mediation
mediator,phenomenon_role,Law,dispute resolution and litigation,mediator
tribunal,concept,Law,dispute resolution and litigation,tribunal
compensation,concept,Law,dispute resolution and litigation,compensation
judgment,concept,Law,dispute resolution and litigation,judgment
litigation,phenomenon_process,Law,dispute resolution and litigation,litigation
workers' compensation,concept,Law,employment and labour law,workers' compensation
work visa,phenomenon_object,Law,employment and labour law,work visa
labour law,phenomenon_object,Law,employment and labour law,labour law
working conditions,concept,Law,employment and labour law,working conditions
working hours,concept,Law,employment and labour law,working hours
eligibility,concept,Law,employment and labour law,eligibility
Iqama,phenomenon_object,Law,employment and labour law,Iqama
contaminated land regime,concept,Law,environmental policy,contaminated land regime
conflicts of interest,concept,Law,ethics and professional conduct,conflicts of interest
corruption,concept,Law,ethics and professional conduct,corruption
deliberate concealment,concept,Law,ethics and professional conduct,deliberate concealment
discrimination,concept,Law,ethics and professional conduct,discrimination
gender discrimination,concept,Law,ethics and professional conduct,gender discrimination
privacy,concept,Law,ethics and professional conduct,privacy
corrupt action,concept,Law,ethics and professional conduct,corrupt action
confidentiality,phenomenon_object,Law,ethics and professional conduct,confidentiality
informed consent,concept,Law,ethics and professional conduct,informed consent
fraud,concept,Law,ethics and professional conduct,fraud
freedom of information,concept,Law,ethics and professional conduct,freedom of information
bankruptcy,concept,Law,financial risk,bankruptcy
escrow,phenomenon_object,Law,financial risk,escrow
illegality,concept,Law,financial risk,illegality
camera,phenomenon_object,Law,governance and organizations,camera
regulation,concept,Law,governance and public policy,regulation
regulatory system,concept,Law,governance and public policy,regulatory system
planning policy,concept,Law,governance and public policy,planning policy
policy concept,concept,Law,governance and public policy,policy concept
policy feedback,concept,Law,governance and public policy,policy feedback
procurement policy,concept,Law,governance and public policy,procurement policy
public policy,concept,Law,governance and public policy,public policy
policy formation,phenomenon_process,Law,governance and public policy,policy formation
policy implementation,phenomenon_process,Law,governance and public policy,policy implementation
policy making,phenomenon_process,Law,governance and public policy,policy making
policy process,phenomenon_process,Law,governance and public policy,policy process
policy impact,concept,Law,governance and public policy,policy impact
policy implication,concept,Law,governance and public policy,policy implication
policy analysis,concept,Law,governance and public policy,policy analysis
policy design,phenomenon_process,Law,governance and public policy,policy design
policy evaluation,phenomenon_process,Law,governance and public policy,policy evaluation
policy tools,concept,Law,governance and public policy,policy tools
national agenda,concept,Law,governance and public policy,national agenda
policy instrument,concept,Law,governance and public policy,policy instrument
policy measure,concept,Law,governance and public policy,policy measure
policy mix,concept,Law,governance and public policy,policy mix
government policy,concept,Law,governance and public policy,government policy
public interest,concept,Law,governance and public policy,public interest
civil society,concept,Law,governance and public policy,civil society
policy advice,concept,Law,governance and public policy,policy advice
planning system reform,concept,Law,governance and public policy,planning system reform
new public management,concept,Law,governance and public policy,new public management
public expenditure,concept,Law,governance and public policy,public expenditure
politics,concept,Law,governance and public policy,politics
mandate,concept,Law,governance and public policy,mandate
governmentality,concept,Law,governance and public policy,governmentality
government initiatives,phenomenon_process,Law,governance and public policy,government initiatives
initiatives,phenomenon_process,Law,governance and public policy,initiatives
evidence-based policy,analytical_technique,Law,governance and public policy,evidence-based policy
political factor,concept,Law,governance and public policy,political factor
national policy,concept,Law,governance and public policy,national policy
local democracy,concept,Law,governance and public policy,local democracy
government support,concept,Law,governance and public policy,government support
public well-being,concept,Law,governance and public policy,public well-being
backcasting,empirical_technique,Law,governance and public policy,backcasting
scenario analysis,analytical_technique,Law,governance and public policy,scenario analysis
public value,concept,Law,governance and public policy,public value
lock down,concept,Law,governance and public policy,lock down
government industry relations,concept,Law,governance and public policy,government industry relations
non-governmental organization,concept,Law,governance and public policy,non-governmental organization
development agency,concept,Law,government and public administration,development agency
regulatory agency,concept,Law,government and public administration,regulatory agency
public authority,concept,Law,government and public administration,public authority
government agency,concept,Law,government and public administration,government agency
statutory body,concept,Law,government and public administration,statutory body
local government,concept,Law,government and public administration,local government
municipal government,concept,Law,government and public administration,municipal government
municipality,concept,Law,government and public administration,municipality
public sector,concept,Law,government and public administration,public sector
prison,concept,Law,government and public administration,prison
public sector organization,concept,Law,government and public administration,public sector organization
government project,concept,Law,government and public administration,government project
public services,concept,Law,government and public administration,public services
informational justice,concept,Law,health safety and environment,informational justice
integrity,concept,Law,health safety and environment,integrity
building control,phenomenon_process,Law,health safety and environment,building control
code compliance,phenomenon_process,Law,health safety and environment,code compliance
compliance,concept,Law,health safety and environment,compliance
enforcement,concept,Law,health safety and environment,enforcement
environmental regulation,concept,Law,health safety and environment,environmental regulation
government regulation,concept,Law,health safety and environment,government regulation
political skill,concept,Law,human resources and leadership,political skill
construction patents,concept,Law,intellectual property and security,construction patents
human rights,concept,Law,intellectual property and security,human rights
intellectual property,concept,Law,intellectual property and security,intellectual property
crime prevention,concept,Law,intellectual property and security,crime prevention
burglary,concept,Law,intellectual property and security,burglary
civil justice,concept,Law,legal frameworks and systems,civil justice
constitutional law,concept,Law,legal frameworks and systems,constitutional law
construction law,concept,Law,legal frameworks and systems,construction law
contract law,concept,Law,legal frameworks and systems,contract law
contractual relations,concept,Law,legal frameworks and systems,contractual relations
corporate law,concept,Law,legal frameworks and systems,corporate law
EU legal framework,concept,Law,legal frameworks and systems,EU legal framework
European law,concept,Law,legal frameworks and systems,European law
housing law,concept,Law,legal frameworks and systems,housing law
immigration law,concept,Law,legal frameworks and systems,immigration law
legal design,theoretical_framing,Law,legal frameworks and systems,legal design
legislation,concept,Law,legal frameworks and systems,legislation
payment legislation,concept,Law,legal frameworks and systems,payment legislation
planning law,concept,Law,legal frameworks and systems,planning law
planning legislation,concept,Law,legal frameworks and systems,planning legislation
property law,concept,Law,legal frameworks and systems,property law
statute,concept,Law,legal frameworks and systems,statute
judiciary,concept,Law,legal frameworks and systems,judiciary
building regulation,concept,Law,legal frameworks and systems,building regulation
co-regulation,concept,Law,legal frameworks and systems,co-regulation
regulatory approval,concept,Law,legal frameworks and systems,regulatory approval
restrictive practice,concept,Law,legal frameworks and systems,restrictive practice
statutory adjudication legislation,concept,Law,legal frameworks and systems,statutory adjudication legislation
Construction and Regeneration Act 1996,phenomenon_object,Law,legal frameworks and systems,construction and regeneration act 1996
economic development and construction act 2009,phenomenon_object,Law,legal frameworks and systems,economic development and construction act 2009
Housing Act 2004,phenomenon_object,Law,legal frameworks and systems,Housing Act 2004
Late Payment of Commercial Debts (Interest) Act 1998,phenomenon_object,Law,legal frameworks and systems,Late Payment of Commercial Debts (Interest) Act 1998
statutory interpretation,concept,Law,legal frameworks and systems,statutory interpretation
jurisdiction,concept,Law,legal frameworks and systems,jurisdiction
judicial interpretation,concept,Law,legal frameworks and systems,judicial interpretation
case law,concept,Law,legal frameworks and systems,case law
contract theory,theoretical_framing,Law,legal frameworks and systems,contract theory
good faith,concept,Law,legal frameworks and systems,good faith
justice,concept,Law,legal frameworks and systems,justice
party autonomy,concept,Law,legal frameworks and systems,party autonomy
rule of law,concept,Law,legal frameworks and systems,rule of law
legal issue,concept,Law,legal frameworks and systems,legal issue
legalization,phenomenon_process,Law,legal frameworks and systems,legalization
statutory adjudication,concept,Law,legal frameworks and systems,statutory adjudication
law reform,concept,Law,legal frameworks and systems,law reform
judicial review,phenomenon_process,Law,legal frameworks and systems,judicial review
proportionality,concept,Law,legal frameworks and systems,proportionality
legal analysis,theoretical_framing,Law,legal frameworks and systems,legal analysis
legal geography,concept,Law,legal frameworks and systems,legal geography
law of place,concept,Law,legal frameworks and systems,law of place
legal medicine,concept,Law,legal frameworks and systems,legal medicine
company law,concept,Law,legal frameworks and systems,company law
hard claim,concept,Law,liability and legal responsibilities,hard claim
liability,concept,Law,liability and legal responsibilities,liability
professional liability,concept,Law,liability and legal responsibilities,professional liability
design liability,concept,Law,liability and legal responsibilities,design liability
accountability,concept,Law,liability and legal responsibilities,accountability
consequential loss,concept,Law,liability and legal responsibilities,consequential loss
eviction,concept,Law,liability and legal responsibilities,eviction
insolvency,concept,Law,liability and legal responsibilities,insolvency
limits on liability,concept,Law,liability and legal responsibilities,limits on liability
indemnity,concept,Law,liability and legal responsibilities,indemnity
inherent defects insurance,concept,Law,liability and legal responsibilities,inherent defects insurance
latent defects insurance,concept,Law,liability and legal responsibilities,latent defects insurance
professional indemnity,concept,Law,liability and legal responsibilities,professional indemnity
bid rigging,concept,Law,medical science and clinical practice,bid rigging
energy code,concept,Law,planning and environmental law,energy code
energy performance of buildings directive,phenomenon_object,Law,planning and environmental law,energy performance of buildings directive
environmental protection act 1990,phenomenon_object,Law,planning and environmental law,environmental protection act 1990
state budget,concept,Law,policy economics,state budget
crime type,concept,Law,property and real estate law,crime type
green leases,concept,Law,property and real estate law,green leases
compulsory acquisition,concept,Law,property and real estate law,compulsory acquisition
jurisdictional boundary,concept,Law,property and real estate law,jurisdictional boundary
illegal building,concept,Law,property and real estate law,illegal building
negligence,concept,Law,property and real estate law,negligence
adverse possession,concept,Law,property and real estate law,adverse possession
theft,concept,Law,property and real estate law,theft
land settlement,concept,Law,property and real estate law,land settlement
boundaries,concept,Law,property and real estate law,boundaries
eminent domain,concept,Law,property and real estate law,eminent domain
land title,concept,Law,property and real estate law,land title
proprietary estoppel,concept,Law,property and real estate law,proprietary estoppel
tenancy,concept,Law,property and real estate law,tenancy
regulatory push,concept,Law,regulatory compliance and enforcement,regulatory push
nuisance,concept,Law,regulatory compliance and enforcement,nuisance
violation,concept,Law,regulatory compliance and enforcement,violation
penalty,concept,Law,regulatory compliance and enforcement,penalty
planning law breach,concept,Law,regulatory compliance and enforcement,planning law breach
performance standards and disclosure,concept,Law,regulatory compliance and enforcement,performance standards and disclosure
building code,phenomenon_object,Law,regulatory compliance and enforcement,building code
deregulation,concept,Law,regulatory compliance and enforcement,deregulation
performance-based regulation,concept,Law,regulatory compliance and enforcement,performance-based regulation
codes of practice,concept,Law,regulatory compliance and enforcement,codes of practice
commons,concept,Law,resource management,commons
community consultation,phenomenon_process,Law,stakeholder and communication management,community consultation
citizen participation,phenomenon_process,Law,stakeholder and communication management,citizen participation
community participation,phenomenon_process,Law,stakeholder and communication management,community participation
public participation,phenomenon_process,Law,stakeholder and communication management,public participation
millennium development goals,concept,Law,sustainable design,millennium development goals
construction standard,phenomenon_object,Law,technical documentation,construction standard
realist institutionalism,concept,Law,theoretical and philosophical foundations,realist institutionalism
national planning,phenomenon_process,Law,urban design,national planning
fuzzy optimization,concept,Management & Business,algorithms,fuzzy optimization
maximization,concept,Management & Business,algorithms,maximization
minimization,concept,Management & Business,algorithms,minimization
multi-objective optimization,concept,Management & Business,algorithms,multi-objective optimization
optimization algorithm,concept,Management & Business,algorithms,optimization algorithm
optimization technique,concept,Management & Business,algorithms,optimization technique
pareto analysis,analytical_technique,Management & Business,algorithms,pareto analysis
integrated definition method,concept,Management & Business,analytical methods,integrated definition method
integrated model,concept,Management & Business,analytical methods,integrated model
performance assessment,phenomenon_process,Management & Business,assessment methods,performance assessment
site managers’ performance,concept,Management & Business,assessment methods,site managers’ performance
success criteria,concept,Management & Business,assessment methods,success criteria
system effectiveness,concept,Management & Business,assessment methods,system effectiveness
tendering performance,concept,Management & Business,assessment methods,tendering performance
bridge condition rating,phenomenon_process,Management & Business,asset management,bridge condition rating
building monitoring,phenomenon_process,Management & Business,asset management,building monitoring
infrastructure asset management,phenomenon_process,Management & Business,asset management,infrastructure asset management
asset information management,concept,Management & Business,asset management,asset information management
asset inventory,concept,Management & Business,asset management,asset inventory
asset management,concept,Management & Business,asset management,asset management
asset management planning,phenomenon_process,Management & Business,asset management,asset management planning
building age,concept,Management & Business,asset management,building age
building assessment,phenomenon_process,Management & Business,asset management,building assessment
building evaluation,phenomenon_process,Management & Business,asset management,building evaluation
building refurbishment,phenomenon_process,Management & Business,asset management,building refurbishment
building renovation,phenomenon_process,Management & Business,asset management,building renovation
building stock,concept,Management & Business,asset management,building stock
built asset,concept,Management & Business,asset management,built asset
built asset management,phenomenon_process,Management & Business,asset management,built asset management
condition assessment reporting,phenomenon_process,Management & Business,asset management,condition assessment reporting
facilities asset management,phenomenon_process,Management & Business,asset management,facilities asset management
service life,concept,Management & Business,asset management,service life
whole-life management,phenomenon_process,Management & Business,asset management,whole-life management
project prioritization,concept,Management & Business,asset management,project prioritization
building condition,concept,Management & Business,asset management,building condition
total asset management,concept,Management & Business,asset management,total asset management
intangible resource,phenomenon_object,Management & Business,asset management,intangible resource
block laying,phenomenon_process,Management & Business,building construction,block laying
breaking down,phenomenon_process,Management & Business,building construction,breaking down
building construction,phenomenon_process,Management & Business,building construction,building construction
building practice,phenomenon_process,Management & Business,building construction,building practice
building process,phenomenon_process,Management & Business,building construction,building process
construction method,phenomenon_process,Management & Business,building construction,construction method
construction process,phenomenon_process,Management & Business,building construction,construction process
drilling,phenomenon_process,Management & Business,building construction,drilling
formwork,phenomenon_process,Management & Business,building construction,formwork
housing construction technology,phenomenon_object,Management & Business,building construction,housing construction technology
incremental construction,phenomenon_process,Management & Business,building construction,incremental construction
innovative construction method,phenomenon_process,Management & Business,building construction,innovative construction method
lean and agile construction process,phenomenon_process,Management & Business,building construction,lean and agile construction process
lean construction,phenomenon_process,Management & Business,building construction,lean construction
modern methods of construction,phenomenon_object,Management & Business,building construction,modern methods of construction
modular construction,phenomenon_object,Management & Business,building construction,modular construction
modular prefabrication,phenomenon_process,Management & Business,building construction,modular prefabrication
modularization,phenomenon_process,Management & Business,building construction,modularization
offsite construction,phenomenon_process,Management & Business,building construction,offsite construction
off-site construction,phenomenon_process,Management & Business,building construction,off-site construction
onsite,phenomenon_process,Management & Business,building construction,onsite
prefabricated building,phenomenon_process,Management & Business,building construction,prefabricated building
prefabrication,phenomenon_process,Management & Business,building construction,prefabrication
premanufactured construction,phenomenon_process,Management & Business,building construction,premanufactured construction
reinforced concrete construction,phenomenon_process,Management & Business,building construction,reinforced concrete construction
repetitive construction,phenomenon_process,Management & Business,building construction,repetitive construction
modular building,phenomenon_object,Management & Business,building construction,modular building
industrialized building,phenomenon_object,Management & Business,building construction,industrialized building
industrialized building system,phenomenon_object,Management & Business,building construction,industrialized building system
local material,phenomenon_object,Management & Business,building materials,local material
manufactured sand,phenomenon_object,Management & Business,building materials,manufactured sand
mass timber,phenomenon_object,Management & Business,building materials,mass timber
mortars (material),phenomenon_object,Management & Business,building materials,mortars (material)
profiled steel sheet,phenomenon_object,Management & Business,building materials,profiled steel sheet
interlocking block,phenomenon_object,Management & Business,building materials,interlocking block
metakaolin,phenomenon_object,Management & Business,building materials,metakaolin
ordinary Portland cement,phenomenon_object,Management & Business,building materials,ordinary Portland cement
palm oil fuel ash,phenomenon_object,Management & Business,building materials,palm oil fuel ash
pozzolan,phenomenon_object,Management & Business,building materials,pozzolan
pozzolanic material,phenomenon_object,Management & Business,building materials,pozzolanic material
precast concrete,phenomenon_object,Management & Business,building materials,precast concrete
reactive powder concrete,phenomenon_object,Management & Business,building materials,reactive powder concrete
rebar,phenomenon_object,Management & Business,building materials,rebar
reinforced concrete,phenomenon_object,Management & Business,building materials,reinforced concrete
reinforced concrete beam,phenomenon_object,Management & Business,building materials,reinforced concrete beam
reinforced concrete buildings with infill,phenomenon_object,Management & Business,building materials,reinforced concrete buildings with infill
reinforced concrete slab,phenomenon_object,Management & Business,building materials,reinforced concrete slab
reinforcement,phenomenon_object,Management & Business,building materials,reinforcement
reinforcing steel,phenomenon_object,Management & Business,building materials,reinforcing steel
management decision,phenomenon_process,Management & Business,cognitive psychology,management decision
inter-organizational communication,phenomenon_process,Management & Business,communication and media,inter-organizational communication
construction performance,analytical_technique,Management & Business,communication and media,construction performance
cost performance,concept,Management & Business,communication and media,cost performance
effective performance measure,concept,Management & Business,communication and media,effective performance measure
impact measurement,concept,Management & Business,communication and media,impact measurement
indicator,concept,Management & Business,communication and media,indicator
key indicator,concept,Management & Business,communication and media,key indicator
key performance indicator,concept,Management & Business,communication and media,key performance indicator
lagging and leading indicator,concept,Management & Business,communication and media,lagging and leading indicator
metric,concept,Management & Business,communication and media,metric
monitored performance,concept,Management & Business,communication and media,monitored performance
performance gap,concept,Management & Business,communication and media,performance gap
performance indicator,concept,Management & Business,communication and media,performance indicator
performance measure,concept,Management & Business,communication and media,performance measure
performance measurement,concept,Management & Business,communication and media,performance measurement
performance metric,concept,Management & Business,communication and media,performance metric
quality indicator,concept,Management & Business,communication and media,quality indicator
quality performance,concept,Management & Business,communication and media,quality performance
quality performance measurement,concept,Management & Business,communication and media,quality performance measurement
community impact assessment,analytical_technique,Management & Business,communities and social development,community impact assessment
public consultation,phenomenon_process,Management & Business,communities and social development,public consultation
resilient community,concept,Management & Business,communities and social development,resilient community
stakeholder engagement,phenomenon_process,Management & Business,community and social dimensions,stakeholder engagement
collaborative modelling,phenomenon_process,Management & Business,computational design,collaborative modelling
virtual rendering engine,concept,Management & Business,computational design,virtual rendering engine
blockchain,concept,Management & Business,computing systems,blockchain
common data environment,concept,Management & Business,computing systems,common data environment
digital built environment,concept,Management & Business,computing systems,digital built environment
construction equipment,phenomenon_object,Management & Business,construction equipment,construction equipment
construction plant,phenomenon_object,Management & Business,construction equipment,construction plant
crusher,phenomenon_object,Management & Business,construction equipment,crusher
hoist,phenomenon_object,Management & Business,construction equipment,hoist
prefabricated house,phenomenon_object,Management & Business,construction integration,prefabricated house
construction activity,phenomenon_object,Management & Business,construction operations,construction activity
transportation logistic,phenomenon_process,Management & Business,construction operations,transportation logistic
demolition work,phenomenon_process,Management & Business,construction operations,demolition work
blind lift,phenomenon_object,Management & Business,construction operations,blind lift
construction operation,phenomenon_process,Management & Business,construction operations,construction operation
hoisting,phenomenon_process,Management & Business,construction operations,hoisting
hook time,phenomenon_process,Management & Business,construction operations,hook time
loading,phenomenon_process,Management & Business,construction operations,loading
earthmoving,phenomenon_process,Management & Business,construction operations,earthmoving
excavation,phenomenon_process,Management & Business,construction operations,excavation
vandalism,phenomenon_object,Management & Business,construction operations,vandalism
hoarding management,phenomenon_process,Management & Business,construction operations,hoarding management
temporary structure management,phenomenon_process,Management & Business,construction operations,temporary structure management
informal construction,phenomenon_process,Management & Business,construction operations,informal construction
construction plan & equipment,phenomenon_object,Management & Business,construction planning,construction plan & equipment
construction planning,phenomenon_process,Management & Business,construction planning,construction planning
equipment space,concept,Management & Business,construction planning,equipment space
site layout planning,phenomenon_process,Management & Business,construction planning,site layout planning
social marketing,concept,Management & Business,consumer economics,social marketing
user preference,concept,Management & Business,consumer economics,user preference
satisfaction,concept,Management & Business,consumer economics,satisfaction
subcontract,phenomenon_object,Management & Business,contract law and administration,subcontract
change order,phenomenon_object,Management & Business,contract management and administration,change order
change order management,phenomenon_process,Management & Business,contract management and administration,change order management
claim,phenomenon_process,Management & Business,contract management and administration,claim
claim management,phenomenon_process,Management & Business,contract management and administration,claim management
claim negotiation,phenomenon_process,Management & Business,contract management and administration,claim negotiation
claims culture,concept,Management & Business,contract management and administration,claims culture
construction claim,phenomenon_process,Management & Business,contract management and administration,construction claim
contract administration,phenomenon_process,Management & Business,contract management and administration,contract administration
contract document,phenomenon_object,Management & Business,contract management and administration,contract document
contract documentation,phenomenon_object,Management & Business,contract management and administration,contract documentation
contract management,phenomenon_process,Management & Business,contract management and administration,contract management
contract termination,phenomenon_process,Management & Business,contract management and administration,contract termination
contractor performance,phenomenon_process,Management & Business,contract management and administration,contractor performance
contractor's performance,phenomenon_process,Management & Business,contract management and administration,contractor's performance
installation and acceptance,phenomenon_process,Management & Business,contract management and administration,installation and acceptance
valuation of variation,phenomenon_process,Management & Business,contract management and administration,valuation of variation
variation,phenomenon_object,Management & Business,contract management and administration,variation
contract closeout,phenomenon_process,Management & Business,contract management and administration,contract closeout
contract fulfillment,phenomenon_process,Management & Business,contract management and administration,contract fulfillment
delivery contract,phenomenon_object,Management & Business,contract management and administration,delivery contract
contract claim,concept,Management & Business,contract management and administration,contract claim
contract compliance,concept,Management & Business,contract management and administration,contract compliance
contract modification,phenomenon_process,Management & Business,contract management and administration,contract modification
contract negotiation,phenomenon_process,Management & Business,contract management and administration,contract negotiation
contract preparation,phenomenon_process,Management & Business,contract management and administration,contract preparation
contract risk assessment,phenomenon_process,Management & Business,contract management and administration,contract risk assessment
contract risk management,phenomenon_process,Management & Business,contract management and administration,contract risk management
contractor performance evaluation,phenomenon_process,Management & Business,contract management and administration,contractor performance evaluation
contractual risk management,phenomenon_process,Management & Business,contract management and administration,contractual risk management
subcontractor agreement,phenomenon_process,Management & Business,contract management and administration,subcontractor agreement
subcontractor coordination,phenomenon_process,Management & Business,contract management and administration,subcontractor coordination
transactional contracting,phenomenon_process,Management & Business,contract management and administration,transactional contracting
bid negotiation strategy,concept,Management & Business,contract management and administration,bid negotiation strategy
contract amendment,concept,Management & Business,contract management and administration,contract amendment
contract terms negotiation,phenomenon_process,Management & Business,contract management and administration,contract terms negotiation
subcontractor management,phenomenon_process,Management & Business,contract management and administration,subcontractor management
specification,phenomenon_object,Management & Business,contract management and administration,specification
contract arrangement,phenomenon_object,Management & Business,contract management and administration,contract arrangement
contract strategy,phenomenon_process,Management & Business,contract management and administration,contract strategy
contract structure,phenomenon_object,Management & Business,contract management and administration,contract structure
package,phenomenon_object,Management & Business,contract management and administration,package
form of contract,phenomenon_object,Management & Business,contract management and administration,form of contract
form of contract,phenomenon_object,Management & Business,contract management and administration,forms of contract
new engineering contract,phenomenon_object,Management & Business,contract management and administration,new engineering contract
performance-based contract,phenomenon_object,Management & Business,contract management and administration,performance-based contract
unbundling,concept,Management & Business,contract management and administration,unbundling
labour-based construction,concept,Management & Business,contract management and administration,labour-based construction
construction client's charter,phenomenon_process,Management & Business,contract management and administration,construction client's charter
building contract,phenomenon_object,Management & Business,contract management and administration,building contract
construction contract,phenomenon_object,Management & Business,contract management and administration,construction contract
contract term,phenomenon_object,Management & Business,contract management and administration,contract term
framework agreement,concept,Management & Business,contract management and administration,framework agreement
incentive contract,phenomenon_object,Management & Business,contract management and administration,incentive contract
traditional contract method,concept,Management & Business,contract management and administration,traditional contract method
cost saving,concept,Management & Business,cost management,cost saving
cost escalation,phenomenon_process,Management & Business,cost management,cost escalation
actual cost reporting,phenomenon_process,Management & Business,cost management,actual cost reporting
budget oversight,phenomenon_process,Management & Business,cost management,budget oversight
capital cost,concept,Management & Business,cost management,capital cost
cost consultancy,phenomenon_object,Management & Business,cost management,cost consultancy
cost data,concept,Management & Business,cost management,cost data
cost efficiency,concept,Management & Business,cost management,cost efficiency
cost factor,concept,Management & Business,cost management,cost factor
cost forecasting,phenomenon_process,Management & Business,cost management,cost forecasting
cost increase,concept,Management & Business,cost management,cost increase
cost information,concept,Management & Business,cost management,cost information
cost management,phenomenon_process,Management & Business,cost management,cost management
cost optimization,phenomenon_process,Management & Business,cost management,cost optimization
cost reduction,phenomenon_process,Management & Business,cost management,cost reduction
cost tracking,phenomenon_process,Management & Business,cost management,cost tracking
cost-effectivenes,concept,Management & Business,cost management,cost-effectivenes
costing,phenomenon_process,Management & Business,cost management,costing
design cost,concept,Management & Business,cost management,design cost
direct cost,concept,Management & Business,cost management,direct cost
element rate,concept,Management & Business,cost management,element rate
equipment cost,concept,Management & Business,cost management,equipment cost
float cost,concept,Management & Business,cost management,float cost
life cycle cost analysis,analytical_technique,Management & Business,cost management,life cycle cost analysis
target cost,concept,Management & Business,cost management,target cost
target costing,phenomenon_process,Management & Business,cost management,target costing
cost reduction strategy,concept,Management & Business,cost management,cost reduction strategy
overhead reduction,concept,Management & Business,cost management,overhead reduction
indirect effect,concept,Management & Business,data analysis and analytics,indirect effect
gap analysis,concept,Management & Business,data analysis and analytics,gap analysis
choice of action,phenomenon_process,Management & Business,decision making and reasoning,choice of action
consensus building,phenomenon_process,Management & Business,decision making and reasoning,consensus building
criteria evaluation,phenomenon_process,Management & Business,decision making and reasoning,criteria evaluation
data-driven decision-making,phenomenon_process,Management & Business,decision making and reasoning,data-driven decision-making
option,concept,Management & Business,decision making and reasoning,option
prioritizing,phenomenon_process,Management & Business,decision making and reasoning,prioritizing
priority rating,phenomenon_process,Management & Business,decision making and reasoning,priority rating
process-based decision-making,phenomenon_process,Management & Business,decision making and reasoning,process-based decision-making
ambidexterity,theoretical_framing,Management & Business,decision making and reasoning,ambidexterity
gamification,concept,Management & Business,decision making and reasoning,gamification
path dependency,phenomenon_process,Management & Business,decision making and reasoning,path dependency
disassembly,phenomenon_process,Management & Business,demolition,disassembly
dismantling,phenomenon_process,Management & Business,demolition,dismantling
deconstruction planning,phenomenon_process,Management & Business,demolition,deconstruction planning
deconstruction planning method,phenomenon_process,Management & Business,demolition,deconstruction planning method
operations research,theoretical_framing,Management & Business,design methods,operations research
co-creation,phenomenon_object,Management & Business,design methods,co-creation
facilities planning,phenomenon_process,Management & Business,design process,facilities planning
virtual design and construction,concept,Management & Business,digital design,virtual design and construction
augmented reality application,phenomenon_process,Management & Business,digital engineering,augmented reality application
collaborative digital tool,phenomenon_process,Management & Business,digital engineering,collaborative digital tool
construction 4.0,concept,Management & Business,digital engineering,construction 4.0
construction industry 4.0,concept,Management & Business,digital engineering,construction industry 4.0
digital construction platform,phenomenon_process,Management & Business,digital engineering,digital construction platform
virtual reality in construction,phenomenon_process,Management & Business,digital engineering,virtual reality in construction
project management software,phenomenon_process,Management & Business,digital technology,project management software
web-based system,concept,Management & Business,digital technology,web-based system
construction dispute,phenomenon_object,Management & Business,dispute resolution and litigation,construction dispute
sourcing model,concept,Management & Business,economic and policy analysis,sourcing model
strategic sourcing,phenomenon_process,Management & Business,economic and policy analysis,strategic sourcing
supplier management,phenomenon_process,Management & Business,economic and policy analysis,supplier management
supply chain integration,phenomenon_process,Management & Business,economic and policy analysis,supply chain integration
supply chain management,phenomenon_process,Management & Business,economic and policy analysis,supply chain management
supply chain maturity,phenomenon_process,Management & Business,economic and policy analysis,supply chain maturity
supply chain performance,analytical_technique,Management & Business,economic and policy analysis,supply chain performance
supply chain planning,phenomenon_process,Management & Business,economic and policy analysis,supply chain planning
supply chain process,phenomenon_process,Management & Business,economic and policy analysis,supply chain process
supply chain resilience,concept,Management & Business,economic and policy analysis,supply chain resilience
supply chain risk management,phenomenon_process,Management & Business,economic and policy analysis,supply chain risk management
supply chain security,concept,Management & Business,economic and policy analysis,supply chain security
supply chain visibility,concept,Management & Business,economic and policy analysis,supply chain visibility
supply-side competence,concept,Management & Business,economic and policy analysis,supply-side competence
third-party logistic,phenomenon_process,Management & Business,economic and policy analysis,third-party logistic
traceability,concept,Management & Business,economic and policy analysis,traceability
value chain,concept,Management & Business,economic and policy analysis,value chain
vertical integration,concept,Management & Business,economic and policy analysis,vertical integration
business growth,concept,Management & Business,economic development,business growth
association,phenomenon_object,Management & Business,educational institutions,association
labour right,concept,Management & Business,employment and labour law,labour right
hydropower project,phenomenon_object,Management & Business,energy systems,hydropower project
mega hydropower project,phenomenon_object,Management & Business,energy systems,mega hydropower project
environmental mitigation measure,phenomenon_process,Management & Business,environmental engineering,environmental mitigation measure
environmental risk assessment,phenomenon_process,Management & Business,environmental engineering,environmental risk assessment
sustainability management,phenomenon_process,Management & Business,environmental engineering,sustainability management
calculative trust,concept,Management & Business,environmental hazards,calculative trust
loss estimation,phenomenon_process,Management & Business,environmental hazards,loss estimation
qualitative risk analysis,phenomenon_process,Management & Business,environmental hazards,qualitative risk analysis
